Name,SI,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,__NounName,BasePriority,ExitCode,HasExited,ExitTime,Handle,SafeHandle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
chrome,1,474,2.20361E+12,29376512,14159872,26888,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,17.484375,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3320,Microsoft.Win32.SafeHandles.SafeProcessHandle,474,10220,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,26888,26888,14159872,14159872,463672,463672,14278656,14278656,31887360,31887360,314728448,2.20363E+12,TRUE,Normal,14159872,14159872,00:05.5,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:17.5,00:12.0,292728832,2.20361E+12,FALSE,,,,29376512,29376512,,
chrome,1,582,2.2043E+12,322367488,306491392,81320,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,253.859375,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,4,,FALSE,,3332,Microsoft.Win32.SafeHandles.SafeProcessHandle,582,12796,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,81320,81320,306491392,306491392,510880,510880,352944128,352944128,400764928,400764928,1018605568,2.20434E+12,TRUE,Idle,306491392,306491392,00:14.1,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,04:13.9,03:59.8,977866752,2.2043E+12,FALSE,,,,322367488,322367488,,
chrome,1,1458,2.20391E+12,115363840,88567808,65944,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,67.703125,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3416,Microsoft.Win32.SafeHandles.SafeProcessHandle,1458,12860,.,655838,Inbox (8) - jbrusoe@gmail.com - Gmail - Google Chrome,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,65944,65944,88567808,88567808,826576,826576,107548672,107548672,160567296,160567296,689590272,2.20401E+12,TRUE,Normal,88567808,88567808,00:21.9,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,01:07.7,00:45.8,590356480,2.20391E+12,FALSE,,,,115363840,115363840,,
chrome,1,755,2.20433E+12,183164928,192487424,31336,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,34.8125,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3572,Microsoft.Win32.SafeHandles.SafeProcessHandle,755,13152,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,31336,31336,192487424,192487424,857712,857712,442232832,442232832,464637952,464637952,1108054016,2.20443E+12,TRUE,Normal,192487424,192487424,00:06.9,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:34.8,00:27.9,1010036736,2.20433E+12,FALSE,,,,183164928,183164928,,
CompPkgSrv,1,161,2.20341E+12,7004160,1937408,7608,C:\Windows\System32\CompPkgSrv.exe,Microsoft Corporation,0.21875,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,Component Package Support Server,Microsoft? Windows? Operating System,Process,8,,FALSE,,3600,Microsoft.Win32.SafeHandles.SafeProcessHandle,161,5960,.,0,,System.Diagnostics.ProcessModule (CompPkgSrv.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,7608,7608,1937408,1937408,120744,120744,2248704,2248704,8777728,8777728,99106816,2.20342E+12,TRUE,Normal,1937408,1937408,00:00.1,CompPkgSrv,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:25,,System.Diagnostics.ProcessThreadCollection,00:00.2,00:00.2,95420416,2.20341E+12,FALSE,,,,7004160,7004160,,
conhost,1,263,2.2035E+12,15720448,4636672,14264,C:\WINDOWS\system32\conhost.exe,Microsoft Corporation,0.75,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,Console Window Host,Microsoft? Windows? Operating System,Process,8,,FALSE,,3632,Microsoft.Win32.SafeHandles.SafeProcessHandle,263,12300,.,0,,System.Diagnostics.ProcessModule (conhost.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,14264,14264,4636672,4636672,268512,268512,5029888,5029888,15724544,15724544,181555200,2.2035E+12,TRUE,Normal,4636672,4636672,00:00.5,conhost,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:40,,System.Diagnostics.ProcessThreadCollection,00:00.8,00:00.3,181555200,2.2035E+12,FALSE,,,,15720448,15720448,,
csrss,0,699,2.20341E+12,4354048,1740800,24672,,,,,,,,Process,13,,,,,,699,716,.,0,,,,,,24672,24672,1740800,1740800,271744,271744,2064384,2064384,5529600,5529600,96673792,2.20341E+12,,,1740800,1740800,,csrss,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,96673792,2.20341E+12,FALSE,,,,4354048,4354048,,
csrss,1,665,2.2035E+12,5644288,2998272,28776,,,,,,,,Process,13,,,,,,665,852,.,0,,,,,,28776,28776,2998272,2998272,280616,280616,5750784,5750784,26435584,26435584,202838016,2.20352E+12,,,2998272,2998272,,csrss,,TRUE,1,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,183111680,2.2035E+12,FALSE,,,,5644288,5644288,,
ctfmon,1,471,2.20345E+12,14172160,8826880,15680,,,8.671875,,,,,Process,13,,,,,,471,8220,.,0,,,,,,15680,15680,8826880,8826880,170056,170056,8826880,8826880,14823424,14823424,134643712,2.20345E+12,,,8826880,8826880,00:06.0,ctfmon,,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:23,,System.Diagnostics.ProcessThreadCollection,00:08.7,00:02.6,132677632,2.20345E+12,FALSE,,,,14172160,14172160,,
DbxSvc,0,149,4383567872,4489216,2613248,10304,,,,,,,,Process,8,,,,,,149,4000,.,0,,,,,,10304,10304,2613248,2613248,95320,95320,2691072,2691072,6787072,6787072,90697728,4385665024,,,2613248,2613248,,DbxSvc,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,88600576,4383567872,FALSE,,,,4489216,4489216,,
dllhost,0,196,2.20348E+12,8798208,3293184,16720,,,,,,,,Process,8,,,,,,196,9192,.,0,,,,,,16720,16720,3293184,3293184,111488,111488,3448832,3448832,10678272,10678272,170729472,2.20349E+12,,,3293184,3293184,,dllhost,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,165683200,2.20348E+12,FALSE,,,,8798208,8798208,,
dllhost,1,232,2.20351E+12,10223616,4825088,20120,C:\WINDOWS\system32\DllHost.exe,Microsoft Corporation,0.15625,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,COM Surrogate,Microsoft? Windows? Operating System,Process,8,,FALSE,,3732,Microsoft.Win32.SafeHandles.SafeProcessHandle,232,10316,.,0,,System.Diagnostics.ProcessModule (DllHost.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,20120,20120,4825088,4825088,146352,146352,6737920,6737920,13758464,13758464,197505024,2.20352E+12,TRUE,Normal,4825088,4825088,00:00.1,dllhost,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:26,,System.Diagnostics.ProcessThreadCollection,00:00.2,00:00.0,189599744,2.20351E+12,FALSE,,,,10223616,10223616,,
DropboxUpdate,0,197,66441216,8859648,2129920,13248,,,,,,,,Process,8,,,,,,197,1400,.,0,,,,,,13248,13248,2129920,2129920,122936,122936,2129920,2129920,8863744,8863744,66441216,66441216,,,2129920,2129920,,DropboxUpdate,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,66441216,66441216,FALSE,,,,8859648,8859648,,
DropboxUpdate,0,227,67756032,1634304,2240512,14456,,,,,,,,Process,8,,,,,,227,5712,.,0,,,,,,14456,14456,2240512,2240512,127864,127864,2433024,2433024,9748480,9748480,71766016,71766016,,,2240512,2240512,,DropboxUpdate,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,67756032,67756032,FALSE,,,,1634304,1634304,,
dwm,1,1282,2.20393E+12,140275712,148049920,60872,,,,,,,,Process,13,,,,,,1282,1244,.,0,,,,,,60872,60872,148049920,148049920,970432,970432,251297792,251297792,224628736,224628736,699183104,2.20402E+12,,,148049920,148049920,,dwm,,TRUE,1,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,610639872,2.20393E+12,FALSE,,,,140275712,140275712,,
esif_uf,0,111,2.20339E+12,4595712,1691648,6992,,,,,,,,Process,13,,,,,,111,4052,.,0,,,,,,6992,6992,1691648,1691648,64256,64256,1736704,1736704,5984256,5984256,73252864,2.20339E+12,,,1691648,1691648,,esif_uf,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,69058560,2.20339E+12,FALSE,,,,4595712,4595712,,
explorer,1,3674,2.20422E+12,170758144,152256512,170616,C:\WINDOWS\Explorer.EXE,Microsoft Corporation,85.03125,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,Windows Explorer,Microsoft? Windows? Operating System,Process,8,,FALSE,,3484,Microsoft.Win32.SafeHandles.SafeProcessHandle,3674,6820,.,394806,,System.Diagnostics.ProcessModule (Explorer.EXE),1413120,204800,System.Diagnostics.ProcessModuleCollection,170616,170616,152256512,152256512,1422384,1422384,155303936,155303936,181645312,181645312,1213669376,2.20453E+12,TRUE,Normal,152256512,152256512,00:49.6,explorer,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:23,,System.Diagnostics.ProcessThreadCollection,01:25.0,00:35.5,899248128,2.20422E+12,FALSE,,,,170758144,170758144,,
firefox,1,2591,2.20602E+12,413118464,417353728,185640,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,683.15625,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,3508,Microsoft.Win32.SafeHandles.SafeProcessHandle,2591,700,.,458816,Dave messaged you - Mozilla Firefox (Private Browsing),System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,185640,185640,417353728,417353728,1580056,1580056,599781376,599781376,607883264,607883264,-1494429696,2.20612E+12,TRUE,Normal,417353728,417353728,04:17.6,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,11:23.2,07:05.6,-1591173120,2.20602E+12,FALSE,,,,413118464,413118464,,
firefox,1,499,2.20501E+12,52551680,22728704,31960,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,0.53125,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,1088,Microsoft.Win32.SafeHandles.SafeProcessHandle,499,2008,.,0,,System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,31960,31960,22728704,22728704,768536,768536,24547328,24547328,52576256,52576256,1696022528,2.20501E+12,TRUE,Normal,22728704,22728704,00:00.3,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:38,,System.Diagnostics.ProcessThreadCollection,00:00.5,00:00.2,1695547392,2.20501E+12,FALSE,,,,52551680,52551680,,
firefox,1,919,2.20525E+12,57237504,61988864,62024,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,4.359375,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,3104,Microsoft.Win32.SafeHandles.SafeProcessHandle,919,2940,.,0,,System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,62024,62024,61988864,61988864,1125608,1125608,90656768,90656768,151347200,151347200,2025156608,2.20534E+12,TRUE,Normal,61988864,61988864,00:00.9,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,00:04.4,00:03.4,1934270464,2.20525E+12,FALSE,,,,57237504,57237504,,
firefox,1,723,2.20516E+12,46510080,37142528,50456,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,3.03125,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,2112,Microsoft.Win32.SafeHandles.SafeProcessHandle,723,3744,.,0,,System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,50456,50456,37142528,37142528,981800,981800,38158336,38158336,81240064,81240064,1854324736,2.20517E+12,TRUE,Normal,37142528,37142528,00:00.7,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,00:03.0,00:02.3,1839382528,2.20516E+12,FALSE,,,,46510080,46510080,,
firefox,1,540,2.20415E+12,155475968,134123520,26752,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,439.734375,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,3076,Microsoft.Win32.SafeHandles.SafeProcessHandle,540,3800,.,0,,System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,26752,26752,134123520,134123520,905848,905848,257343488,257343488,302305280,302305280,988274688,2.20431E+12,TRUE,Normal,134123520,134123520,03:45.9,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,07:19.7,03:33.9,832561152,2.20415E+12,FALSE,,,,155475968,155475968,,
firefox,1,1433,2.20634E+12,534417408,533291008,184784,C:\Program Files\Mozilla Firefox\firefox.exe,Mozilla Corporation,1304.046875,67.0.1,67.0.1,Firefox,Firefox,Process,8,,FALSE,,3448,Microsoft.Win32.SafeHandles.SafeProcessHandle,1433,10184,.,0,,System.Diagnostics.ProcessModule (firefox.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,184784,184784,533291008,533291008,1538680,1538680,1136537600,1136537600,1034625024,1034625024,-997474304,2.20662E+12,TRUE,Normal,533291008,533291008,02:06.1,firefox,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,21:44.0,19:37.9,-1268920320,2.20634E+12,FALSE,,,,534417408,534417408,,
fontdrvhost,1,32,2.20349E+12,4386816,3428352,7472,,,,,,,,Process,8,,,,,,32,96,.,0,,,,,,7472,7472,3428352,3428352,236544,236544,3428352,3428352,7270400,7270400,174088192,2.20349E+12,,,3428352,3428352,,fontdrvhost,,TRUE,1,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,174026752,2.20349E+12,FALSE,,,,4386816,4386816,,
fontdrvhost,0,32,2.20339E+12,1908736,1470464,5160,,,,,,,,Process,8,,,,,,32,856,.,0,,,,,,5160,5160,1470464,1470464,36008,36008,1556480,1556480,3473408,3473408,69779456,2.20339E+12,,,1470464,1470464,,fontdrvhost,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,68206592,2.20339E+12,FALSE,,,,1908736,1908736,,
GoogleCrashHandler,0,161,49831936,81920,1662976,10344,,,,,,,,Process,4,,,,,,161,8468,.,0,,,,,,10344,10344,1662976,1662976,97272,97272,1884160,1884160,7008256,7008256,53764096,53764096,,,1662976,1662976,,GoogleCrashHandler,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,49831936,49831936,FALSE,,,,81920,81920,,
GoogleCrashHandler64,0,140,4384915456,65536,1703936,8784,,,,,,,,Process,4,,,,,,140,8504,.,0,,,,,,8784,8784,1703936,1703936,105480,105480,1794048,1794048,6623232,6623232,93093888,4388061184,,,1703936,1703936,,GoogleCrashHandler64,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,89948160,4384915456,FALSE,,,,65536,65536,,
googledrivesync,1,989,4845297664,69242880,260694016,47048,C:\Program Files\Google\Drive\googledrivesync.exe,,378.53125,,,,,Process,8,,FALSE,,3716,Microsoft.Win32.SafeHandles.SafeProcessHandle,989,7740,.,0,,System.Diagnostics.ProcessModule (googledrivesync.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,47048,47048,260694016,260694016,336240,336240,268193792,268193792,289017856,289017856,552402944,4847370240,TRUE,Normal,260694016,260694016,02:08.8,googledrivesync,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:23,,System.Diagnostics.ProcessThreadCollection,06:18.5,04:09.8,550330368,4845297664,FALSE,,,,69242880,69242880,,
googledrivesync,1,46,4379717632,2953216,2867200,5568,C:\Program Files\Google\Drive\googledrivesync.exe,,4.296875,,,,,Process,8,,FALSE,,2892,Microsoft.Win32.SafeHandles.SafeProcessHandle,46,10032,.,0,,System.Diagnostics.ProcessModule (googledrivesync.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,5568,5568,2867200,2867200,89008,89008,12607488,12607488,13541376,13541376,99209216,4394176512,TRUE,Normal,2867200,2867200,00:03.8,googledrivesync,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:23,,System.Diagnostics.ProcessThreadCollection,00:04.3,00:00.5,84750336,4379717632,FALSE,,,,2953216,2953216,,
Idle,0,0,8192,8192,61440,272,,,,,,,,Process,0,,,,,,0,0,.,0,,,,,,272,272,61440,61440,0,0,61440,61440,12288,12288,8192,8192,,,61440,61440,,Idle,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,8192,8192,FALSE,,,,8192,8192,,
igfxCUIService,0,168,2.2034E+12,6389760,1875968,9576,,,,,,,,Process,8,,,,,,168,2324,.,0,,,,,,9576,9576,1875968,1875968,91304,91304,2269184,2269184,8990720,8990720,90763264,2.20341E+12,,,1875968,1875968,,igfxCUIService,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,81326080,2.2034E+12,FALSE,,,,6389760,6389760,,
